N,P,K,temperature,humidity,ph,rainfall,label
26.84,71.33,19.94,23.35,65.15,6.42,43.28,Lentil
14.46,73.59,20.75,21.68,69.75,6.68,39.82,Lentil
32.85,69.99,20.99,22.72,66.13,6.55,47.78,Lentil
15.59,64.79,24.31,21.7,63.49,6.48,38.93,Lentil
13.7,66.06,20.34,23.84,64.64,6.67,50.11,Lentil
26.31,63.91,19.3,25.74,68.53,6.41,45.49,Lentil
29.61,61.3,20.05,19.6,60.58,6.79,43.08,Lentil
28.76,67.39,17.56,23.86,61.92,7.17,38.22,Lentil
26.28,60.99,21.43,23.01,63.7,6.97,45.15,Lentil
30.73,61.37,16.49,24.32,64.2,6.88,44.6,Lentil
28.78,57.35,24.72,23.51,66.74,6.34,46.54,Lentil
19.36,70.33,19.11,24.09,66.74,6.19,41.58,Lentil
30.36,80.61,19.65,25.77,64.73,7.38,36.26,Lentil
28.09,57.34,13.73,24.89,65.35,6.54,44.47,Lentil
46.86,65.89,21.28,22.05,65.74,6.56,42.95,Lentil
38.87,74.86,20.34,17.09,64.1,7.66,43.85,Lentil
34.4,76.51,20.55,21.47,58.91,6.91,40.93,Lentil
28.6,59.69,19.34,24.1,65.67,6.23,50.98,Lentil
23.77,57.03,19.73,24.1,65.4,7.16,43.82,Lentil
26.75,60.61,22.05,24.55,63.95,5.94,52.22,Lentil
19.83,63.8,20.9,20.41,61.27,5.85,48.6,Lentil
24.09,85.8,17.51,21.24,63.59,6.74,42.65,Lentil
31.33,61.38,16.55,18.61,59.44,6.46,43.5,Lentil
23.55,75.27,23.07,23.0,60.52,6.44,42.0,Lentil
23.39,63.14,18.37,22.84,63.41,6.73,46.8,Lentil
21.81,75.44,17.55,19.15,65.95,6.34,46.61,Lentil
12.48,76.2,21.68,19.5,61.3,7.28,41.31,Lentil
22.29,53.34,19.12,23.32,66.79,6.13,37.4,Lentil
30.32,73.79,16.07,27.24,65.09,7.06,44.65,Lentil
11.74,66.55,22.65,21.32,64.03,6.58,30.5,Lentil
37.95,61.87,21.26,23.74,68.14,6.8,43.83,Lentil
21.92,72.49,15.32,25.94,62.25,7.12,45.81,Lentil
31.53,68.01,15.62,21.42,66.68,6.71,50.9,Lentil
30.02,61.46,18.01,24.31,59.21,7.28,47.21,Lentil
35.17,57.62,23.11,30.69,61.7,6.94,45.01,Lentil
17.85,70.58,22.08,22.2,67.91,6.02,37.53,Lentil
28.35,67.66,18.21,26.43,66.33,6.97,44.38,Lentil
31.27,64.71,25.13,21.56,70.26,6.66,38.12,Lentil
36.05,68.29,22.13,27.67,65.84,6.43,49.88,Lentil
27.5,71.79,14.62,25.34,63.4,7.27,48.12,Lentil
29.0,70.54,17.5,28.87,69.98,6.8,52.95,Lentil
23.94,62.52,20.1,25.3,64.02,6.85,46.53,Lentil
21.26,70.74,22.16,24.51,67.88,6.19,47.34,Lentil
20.19,60.54,18.42,21.17,63.63,6.57,49.19,Lentil
25.49,57.59,22.85,21.49,64.85,6.82,46.0,Lentil
34.34,70.49,17.85,30.54,65.49,6.59,49.82,Lentil
29.06,70.0,26.23,23.17,64.21,6.69,50.36,Lentil
18.08,55.22,18.53,19.1,63.94,6.84,40.55,Lentil
18.58,67.93,22.16,18.92,67.05,6.96,49.77,Lentil
35.12,81.26,19.11,24.33,63.96,6.65,52.66,Lentil
19.09,62.12,23.44,27.06,64.09,6.97,46.71,Lentil
36.88,67.97,22.56,31.93,66.5,6.67,48.61,Lentil
25.22,82.42,20.45,23.18,62.91,7.06,49.34,Lentil
24.39,71.1,16.23,24.55,66.13,7.29,41.15,Lentil
19.51,61.9,16.66,28.01,68.87,6.77,51.11,Lentil
28.34,66.91,19.17,23.07,61.13,6.75,44.8,Lentil
32.16,68.08,19.59,21.39,65.18,6.93,39.28,Lentil
28.05,68.96,18.2,22.24,65.58,6.22,46.75,Lentil
21.9,74.14,25.84,21.42,66.34,6.38,50.2,Lentil
19.59,70.5,17.82,23.38,62.42,6.96,40.82,Lentil
30.95,65.35,19.71,24.44,63.1,6.73,52.65,Lentil
22.64,74.82,23.75,21.55,61.36,6.76,42.26,Lentil
39.18,67.72,17.99,20.56,67.72,6.44,45.22,Lentil
33.47,64.47,19.89,23.95,66.71,6.87,43.9,Lentil
27.9,65.18,16.31,24.77,69.73,6.32,41.13,Lentil
22.06,72.03,21.12,23.52,62.7,6.68,37.18,Lentil
28.4,72.95,16.87,19.4,68.95,6.42,50.68,Lentil
26.54,66.49,21.1,21.35,65.33,6.51,38.4,Lentil
29.61,65.85,19.61,20.37,68.98,6.98,49.82,Lentil
25.59,56.69,24.88,23.82,63.13,6.81,50.84,Lentil
27.36,75.49,22.71,20.77,63.32,7.01,31.44,Lentil
26.57,58.56,18.81,23.1,64.1,6.44,39.51,Lentil
41.82,79.17,17.09,28.75,64.0,6.7,44.68,Lentil
23.38,73.65,20.31,22.57,61.74,6.31,36.79,Lentil
27.58,60.02,19.34,28.11,68.0,6.64,44.56,Lentil
39.25,70.75,19.18,19.72,65.98,6.96,41.84,Lentil
29.32,65.23,19.54,16.54,64.45,7.01,41.84,Lentil
27.83,62.78,20.9,23.35,62.65,7.15,49.64,Lentil
23.72,70.61,21.34,25.93,60.76,7.03,42.15,Lentil
25.26,83.99,20.75,22.84,59.49,7.17,38.27,Lentil
21.23,65.43,23.54,26.32,64.61,6.77,42.0,Lentil
28.37,67.96,22.42,26.9,66.23,6.51,48.71,Lentil
26.93,60.74,18.99,24.25,67.28,6.58,38.95,Lentil
27.85,68.21,20.46,26.76,67.55,6.43,41.92,Lentil
21.0,71.87,23.62,23.05,64.4,7.2,47.53,Lentil
30.23,60.06,21.7,21.21,62.16,6.52,42.07,Lentil
26.12,12.8,42.4,23.47,85.13,6.77,102.97,Pomegranate
32.86,19.66,40.07,21.18,93.03,5.82,106.52,Pomegranate
34.38,23.58,45.81,20.57,92.39,6.3,108.08,Pomegranate
27.45,18.06,43.27,20.64,86.47,6.13,106.55,Pomegranate
36.2,20.56,43.3,19.12,88.89,6.23,104.71,Pomegranate
28.03,23.45,38.89,21.74,89.89,5.96,104.72,Pomegranate
26.6,19.17,40.08,21.63,88.92,6.89,102.08,Pomegranate
22.99,33.9,37.41,19.13,91.84,5.47,104.41,Pomegranate
40.91,12.28,35.05,18.88,92.25,6.83,103.72,Pomegranate
31.77,26.95,44.47,21.07,84.25,6.0,103.93,Pomegranate
25.88,19.06,42.8,23.73,89.57,6.82,105.89,Pomegranate
27.9,24.53,40.18,25.1,86.4,6.13,104.68,Pomegranate
30.25,26.34,39.94,19.01,92.11,6.67,100.15,Pomegranate
27.48,12.05,38.34,19.92,92.02,6.4,101.79,Pomegranate
33.0,12.83,40.83,20.08,89.09,6.56,106.3,Pomegranate
35.86,19.59,40.77,20.73,90.45,6.54,104.75,Pomegranate
16.23,21.66,40.91,20.31,86.79,6.98,106.23,Pomegranate
26.07,14.31,37.95,23.78,90.34,6.12,106.27,Pomegranate
22.41,27.5,43.38,20.68,88.43,5.24,101.3,Pomegranate
19.13,20.68,39.18,19.15,89.3,6.56,106.32,Pomegranate
15.63,19.36,36.54,23.08,91.96,5.97,103.08,Pomegranate
24.62,8.74,40.84,21.02,92.43,5.88,103.45,Pomegranate
18.08,14.98,37.05,23.24,88.25,6.4,104.05,Pomegranate
19.57,19.16,41.5,19.39,92.02,5.99,103.79,Pomegranate
30.82,16.68,40.09,20.95,90.32,5.34,100.43,Pomegranate
31.35,25.19,37.72,21.07,90.74,6.64,99.93,Pomegranate
21.96,18.34,41.76,25.87,89.43,5.75,106.01,Pomegranate
35.76,20.54,37.73,23.18,91.66,5.91,105.95,Pomegranate
33.73,25.91,39.83,20.87,93.07,5.84,106.1,Pomegranate
18.94,25.33,39.35,23.72,91.23,5.83,108.56,Pomegranate
37.2,24.41,38.1,20.96,90.36,6.05,109.23,Pomegranate
28.4,6.48,40.85,20.89,89.81,6.19,107.02,Pomegranate
34.5,21.42,39.15,21.43,90.05,6.01,106.45,Pomegranate
30.38,27.7,43.14,20.3,92.05,5.95,106.74,Pomegranate
24.27,14.88,40.7,16.82,85.62,6.27,105.21,Pomegranate
25.19,12.1,37.96,22.18,91.45,6.34,107.89,Pomegranate
29.98,16.26,39.3,19.04,89.73,6.82,106.71,Pomegranate
36.26,18.49,43.37,21.16,93.68,6.34,106.77,Pomegranate
36.72,19.03,40.55,23.76,89.67,5.79,110.36,Pomegranate
24.56,20.79,42.89,20.44,87.48,6.46,100.52,Pomegranate
25.7,21.23,39.33,18.8,93.99,6.39,108.58,Pomegranate
25.87,15.6,40.67,21.12,87.06,6.97,103.44,Pomegranate
16.0,26.64,38.74,20.44,85.59,7.09,101.78,Pomegranate
27.87,24.56,41.05,21.4,85.75,6.01,105.47,Pomegranate
22.58,21.02,41.7,23.18,86.93,7.28,106.92,Pomegranate
27.49,25.45,45.91,18.98,89.44,5.34,105.48,Pomegranate
29.78,19.8,38.36,17.91,90.93,6.97,103.52,Pomegranate
30.25,12.16,41.14,20.81,88.09,6.03,104.02,Pomegranate
29.89,13.44,39.01,21.43,87.25,7.11,102.87,Pomegranate
23.32,15.11,44.5,22.47,87.66,6.82,105.5,Pomegranate
29.11,18.28,38.13,22.09,88.64,7.12,101.83,Pomegranate
37.1,19.44,40.75,22.96,88.42,6.72,98.23,Pomegranate
23.0,15.38,36.87,21.12,90.96,6.65,105.6,Pomegranate
23.34,21.85,40.31,23.14,91.94,6.36,102.76,Pomegranate
23.42,17.25,39.21,21.97,91.79,6.33,105.04,Pomegranate
28.4,17.42,37.69,18.43,88.26,6.55,103.24,Pomegranate
26.01,22.33,41.3,19.61,92.49,6.83,102.18,Pomegranate
22.35,25.96,39.63,17.62,86.5,6.24,102.09,Pomegranate
24.92,20.16,43.66,20.99,92.68,6.96,108.59,Pomegranate
29.28,10.18,41.15,23.33,89.8,7.09,107.15,Pomegranate
31.05,25.43,40.83,17.14,88.75,6.86,102.98,Pomegranate
26.1,14.78,44.46,24.44,87.79,6.41,103.3,Pomegranate
31.34,22.55,42.03,22.08,97.34,5.91,100.72,Pomegranate
25.04,12.16,36.27,19.75,87.69,5.94,106.3,Pomegranate
24.34,19.1,42.24,20.16,89.34,6.51,100.15,Pomegranate
12.59,21.73,41.23,25.11,90.4,6.7,104.51,Pomegranate
29.36,28.34,34.69,22.22,95.34,6.47,109.13,Pomegranate
23.57,19.84,40.08,17.62,87.08,5.88,107.06,Pomegranate
32.95,21.62,42.06,21.21,93.0,6.35,105.14,Pomegranate
25.84,23.42,38.95,23.21,87.17,5.88,106.72,Pomegranate
26.95,17.73,42.23,20.44,89.5,6.94,108.85,Pomegranate
37.33,18.59,43.08,19.84,87.73,5.35,109.18,Pomegranate
22.1,19.37,37.72,22.72,89.06,5.8,106.1,Pomegranate
18.54,15.81,34.73,19.01,90.45,5.52,101.3,Pomegranate
27.49,17.28,44.98,24.71,87.83,6.59,106.87,Pomegranate
23.77,12.52,39.97,21.2,88.91,6.54,103.12,Pomegranate
20.3,20.55,40.96,19.44,92.32,5.6,103.55,Pomegranate
25.89,16.82,38.59,24.77,87.87,7.39,106.09,Pomegranate
28.08,22.38,46.32,19.76,87.2,6.03,105.08,Pomegranate
16.71,20.11,44.23,21.76,89.27,6.09,107.25,Pomegranate
22.34,29.23,44.83,21.95,89.97,6.79,107.74,Pomegranate
22.46,17.37,36.69,22.22,91.67,5.78,103.86,Pomegranate
19.08,15.51,41.38,20.22,89.25,5.66,105.47,Pomegranate
27.22,16.36,39.53,21.82,87.96,5.72,109.51,Pomegranate
23.54,19.52,42.53,27.68,86.89,6.54,103.23,Pomegranate
24.13,16.4,37.19,21.43,86.31,6.75,105.14,Pomegranate
30.14,17.67,39.08,22.0,87.09,6.2,102.85,Pomegranate
21.93,9.45,43.35,20.3,92.91,6.8,101.79,Pomegranate
20.7,32.8,44.38,21.44,90.64,6.08,106.08,Pomegranate
23.02,9.84,36.7,21.54,87.17,6.32,102.31,Pomegranate
22.61,24.27,40.62,21.48,92.2,6.55,108.62,Pomegranate
24.63,17.85,36.75,20.75,92.41,6.9,107.4,Pomegranate
16.29,25.42,35.4,23.07,89.08,6.65,101.67,Pomegranate
34.82,12.68,38.33,19.75,85.61,6.39,109.52,Pomegranate
44.17,20.49,42.79,21.91,91.25,6.2,105.49,Pomegranate
30.86,17.11,39.81,21.4,92.07,5.9,104.87,Pomegranate
39.45,25.82,43.37,21.54,90.8,6.78,108.9,Pomegranate
15.3,13.42,43.27,21.02,88.32,5.82,103.61,Pomegranate
18.74,30.46,39.94,21.4,91.47,6.76,107.36,Pomegranate
34.21,16.85,39.26,22.85,88.68,6.35,106.0,Pomegranate
110.89,71.39,51.79,27.21,81.77,6.19,117.06,Banana
115.15,90.92,53.61,27.86,80.08,6.22,110.49,Banana
102.68,85.03,49.91,26.43,83.23,6.01,120.37,Banana
92.81,79.02,50.08,28.92,81.0,6.08,96.55,Banana
96.32,84.52,46.59,26.84,81.25,5.75,117.04,Banana
114.18,72.68,47.67,24.64,78.04,6.19,101.9,Banana
108.46,72.99,51.99,26.81,80.03,5.98,95.46,Banana
96.35,88.55,51.0,28.81,80.81,6.04,92.05,Banana
102.97,82.33,54.88,28.36,83.84,6.15,99.67,Banana
105.88,83.98,47.65,27.02,79.49,6.4,89.39,Banana
114.04,76.65,46.57,28.97,81.83,6.31,111.01,Banana
120.45,85.99,49.61,27.93,83.11,5.81,100.11,Banana
102.68,69.35,50.35,25.14,80.13,6.22,101.42,Banana
117.58,73.37,52.98,28.34,75.71,6.68,104.52,Banana
98.42,73.71,49.45,27.34,80.26,5.93,109.75,Banana
102.09,70.41,49.63,24.54,80.88,5.76,106.23,Banana
114.86,76.57,52.65,26.96,84.38,5.91,98.7,Banana
110.15,79.78,47.9,26.9,79.89,6.34,90.49,Banana
105.17,86.41,50.48,29.14,79.81,5.95,109.44,Banana
105.74,80.06,51.29,26.68,78.47,5.87,115.15,Banana
80.84,84.97,50.09,25.4,80.77,6.12,109.42,Banana
85.11,91.04,48.16,28.36,81.85,5.78,109.95,Banana
102.11,69.55,52.92,26.53,77.86,5.9,107.04,Banana
104.57,85.93,46.65,26.57,79.71,6.47,104.15,Banana
113.14,82.74,48.79,27.19,79.58,6.15,115.31,Banana
107.7,89.92,47.59,26.98,78.19,6.08,102.31,Banana
110.47,76.68,50.11,28.36,74.84,6.53,102.88,Banana
89.81,83.49,50.08,27.4,82.48,6.19,107.23,Banana
108.38,81.85,54.44,25.65,80.35,6.02,111.1,Banana
98.67,71.6,50.39,27.85,83.72,5.68,113.66,Banana
122.76,80.14,46.77,26.99,80.04,6.14,100.56,Banana
116.66,75.53,45.65,28.88,74.31,5.95,128.38,Banana
104.91,75.5,49.86,27.44,80.4,6.17,97.21,Banana
117.66,84.03,51.82,26.71,83.22,5.94,107.08,Banana
98.0,76.27,51.72,26.95,77.87,5.84,110.24,Banana
100.28,81.76,50.04,25.1,76.32,6.08,99.47,Banana
112.93,88.54,51.8,29.77,79.79,6.16,100.62,Banana
123.39,94.9,50.03,27.98,83.4,5.96,100.08,Banana
111.55,82.99,50.46,26.46,75.71,6.06,111.79,Banana
103.31,91.48,48.24,26.18,79.83,5.98,110.77,Banana
99.19,91.05,54.92,27.45,83.12,5.74,113.06,Banana
112.85,87.9,49.96,23.81,78.4,5.84,97.66,Banana
105.92,79.88,47.94,26.18,78.21,6.28,100.04,Banana
101.14,79.65,50.85,28.07,72.39,6.26,115.77,Banana
97.12,76.42,48.87,26.55,80.56,5.51,96.62,Banana
116.54,76.7,53.11,27.94,75.48,6.16,104.12,Banana
101.58,84.03,51.19,28.38,82.95,6.1,94.68,Banana
101.45,100.89,51.81,30.46,83.49,6.06,107.26,Banana
104.73,71.64,50.05,29.01,78.5,6.1,111.39,Banana
98.18,79.68,47.46,26.47,76.78,5.77,115.65,Banana
98.13,83.29,48.74,28.97,83.28,6.22,107.3,Banana
103.27,75.05,54.86,26.55,81.66,6.26,100.84,Banana
112.79,87.28,54.32,26.91,76.79,5.87,106.57,Banana
105.44,80.04,45.23,28.09,84.93,6.12,109.57,Banana
109.29,84.98,52.33,27.99,79.22,5.8,103.13,Banana
107.36,80.52,50.79,28.05,82.08,6.32,105.59,Banana
95.19,80.34,50.11,25.21,83.47,6.04,107.86,Banana
115.24,78.56,51.44,27.36,79.54,5.81,117.49,Banana
102.18,86.87,45.31,28.97,82.63,6.02,103.3,Banana
108.0,96.8,45.59,28.48,77.72,6.0,103.14,Banana
101.79,82.43,47.16,28.79,75.51,6.13,102.55,Banana
96.22,83.76,46.11,27.55,76.44,6.12,98.07,Banana
101.62,84.34,48.07,27.43,76.22,6.16,118.24,Banana
125.94,83.07,51.97,25.27,83.76,6.19,101.37,Banana
114.28,80.91,48.85,28.09,77.34,6.26,97.08,Banana
97.12,76.81,51.9,26.73,76.63,5.85,104.76,Banana
96.14,75.3,55.28,26.42,79.19,5.91,101.84,Banana
109.66,88.43,49.24,25.95,83.19,5.98,117.98,Banana
88.16,83.72,54.8,27.06,79.44,6.07,100.81,Banana
102.66,80.39,48.43,29.04,81.15,6.06,111.06,Banana
103.02,77.66,48.49,27.5,77.35,5.87,101.13,Banana
120.93,65.16,49.55,29.66,80.3,6.19,105.75,Banana
99.99,68.49,50.51,26.53,78.0,5.88,118.09,Banana
123.04,83.86,48.84,26.03,81.17,6.45,103.14,Banana
87.16,86.69,52.46,25.52,80.44,6.11,104.45,Banana
99.07,88.85,48.99,25.64,74.88,6.32,109.62,Banana
105.66,79.75,48.68,26.16,78.92,5.47,99.48,Banana
102.67,86.31,49.9,28.49,83.37,6.26,108.53,Banana
105.09,76.37,51.85,29.6,80.86,6.48,93.56,Banana
96.34,87.85,50.66,29.14,79.96,5.78,103.4,Banana
93.5,75.45,52.43,28.59,80.91,5.57,102.31,Banana
95.81,89.85,48.54,26.14,80.07,5.84,116.13,Banana
99.49,73.75,44.62,27.46,78.6,5.64,113.92,Banana
110.0,82.32,53.41,28.33,77.94,5.74,111.13,Banana
107.97,83.56,47.88,28.26,78.11,5.97,115.85,Banana
100.04,72.67,47.37,28.74,80.64,5.97,101.18,Banana
108.64,77.19,50.76,26.59,77.76,5.84,102.18,Banana
104.63,83.97,40.78,26.49,79.02,6.38,96.9,Banana
106.22,91.84,46.72,27.99,77.99,5.87,98.98,Banana
99.51,99.51,52.11,28.88,81.23,5.6,107.96,Banana
113.05,77.17,52.41,28.38,84.63,5.9,96.77,Banana
102.29,91.47,45.43,24.91,80.22,5.89,105.06,Banana
112.09,79.05,45.32,30.06,77.51,5.74,113.28,Banana
102.12,82.1,51.21,28.85,79.17,6.38,88.98,Banana
110.7,77.25,53.43,27.68,78.32,6.17,111.7,Banana
109.81,76.06,48.79,27.49,79.9,6.19,89.89,Banana
107.51,80.69,47.9,26.57,79.46,5.1,99.74,Banana
98.43,85.83,47.99,27.23,83.86,6.25,111.77,Banana
101.25,85.89,49.42,27.25,81.02,5.85,116.2,Banana
103.8,86.36,53.64,28.79,76.48,6.11,111.38,Banana
33.07,20.54,28.36,33.74,50.17,5.56,98.94,Mango
27.2,22.96,27.81,32.25,49.17,5.6,95.83,Mango
35.62,31.67,28.21,34.15,50.98,4.98,94.57,Mango
36.49,28.53,30.03,35.18,49.0,4.95,90.96,Mango
29.83,28.54,33.86,32.05,50.79,5.75,95.29,Mango
17.05,44.44,31.3,31.97,52.58,6.19,94.65,Mango
23.55,31.25,30.96,29.68,53.98,5.93,96.82,Mango
36.2,27.64,30.79,33.32,50.23,5.78,95.31,Mango
21.52,41.99,26.48,28.58,53.8,6.2,92.44,Mango
31.3,36.67,29.92,37.35,48.48,6.18,97.92,Mango
33.07,26.22,29.27,32.5,52.93,6.13,97.6,Mango
21.13,26.08,27.65,30.63,53.28,5.82,101.52,Mango
28.71,27.87,30.27,30.06,51.4,6.45,95.28,Mango
22.54,21.72,28.87,31.67,53.59,4.91,94.2,Mango
28.4,16.04,27.92,29.97,50.11,5.87,94.6,Mango
24.03,30.17,34.31,35.19,48.14,6.11,94.55,Mango
28.47,25.01,30.29,31.84,50.49,5.19,93.88,Mango
28.96,31.24,32.13,30.39,52.0,6.35,97.91,Mango
27.13,26.12,30.48,28.91,51.16,6.22,96.6,Mango
25.81,28.86,27.94,33.08,51.36,5.58,94.1,Mango
27.11,24.7,31.65,30.61,54.29,6.67,92.77,Mango
27.94,23.43,29.18,36.01,50.96,5.98,96.35,Mango
21.25,22.16,26.98,29.51,46.51,6.09,100.14,Mango
28.42,18.65,28.39,30.47,49.72,6.29,97.03,Mango
20.28,32.03,33.82,35.78,56.51,5.19,102.06,Mango
25.29,23.8,30.82,30.19,52.2,4.92,94.4,Mango
35.53,27.14,30.35,32.57,53.55,4.72,96.46,Mango
25.82,28.54,32.65,28.81,49.73,4.54,93.63,Mango
35.82,26.75,26.65,30.41,48.9,5.05,95.97,Mango
20.16,34.45,29.82,31.69,51.01,6.23,96.96,Mango
29.59,31.03,29.47,32.72,50.91,5.75,94.31,Mango
24.64,23.19,31.17,34.45,53.55,4.96,98.22,Mango
25.51,31.25,27.73,31.82,52.05,4.82,96.52,Mango
35.91,26.41,33.4,31.07,52.99,4.36,101.05,Mango
36.85,25.72,25.07,32.15,48.97,6.03,96.03,Mango
21.62,34.51,32.01,33.7,51.52,4.87,97.44,Mango
25.81,18.81,33.38,36.22,51.43,7.1,95.23,Mango
25.12,23.56,34.09,29.74,52.79,5.4,93.85,Mango
33.94,25.12,28.99,34.05,54.3,6.15,93.36,Mango
24.31,28.0,30.8,29.28,52.77,5.8,90.71,Mango
21.69,24.35,29.82,35.75,51.92,5.22,95.55,Mango
25.3,29.53,31.45,34.22,51.46,6.77,97.27,Mango
23.08,41.31,30.82,29.62,54.39,7.05,94.92,Mango
24.35,26.42,31.79,34.38,52.5,5.81,98.75,Mango
25.54,33.94,29.28,32.47,51.3,5.72,94.06,Mango
35.91,22.92,28.15,36.27,53.21,4.26,93.59,Mango
16.18,21.56,22.15,31.19,49.5,5.79,90.94,Mango
28.02,24.91,33.75,34.68,52.87,5.55,99.96,Mango
17.79,18.73,29.79,36.57,51.15,5.64,91.4,Mango
33.41,33.46,31.97,30.08,50.26,4.94,95.21,Mango
20.75,20.14,28.94,30.4,50.56,6.04,95.2,Mango
25.7,28.64,27.52,31.74,51.76,4.81,97.49,Mango
21.99,28.06,32.91,33.58,51.56,5.52,97.37,Mango
31.72,23.64,28.01,26.84,51.77,5.7,97.84,Mango
29.74,35.84,28.26,34.06,50.57,6.24,91.35,Mango
28.97,15.1,29.33,32.49,50.59,5.09,97.12,Mango
26.85,24.44,30.1,37.43,53.52,6.48,96.09,Mango
28.54,12.52,28.3,30.42,48.22,5.03,90.05,Mango
27.26,32.62,32.77,32.43,49.81,4.54,90.61,Mango
19.57,21.94,29.6,29.22,52.09,5.6,95.03,Mango
34.63,20.12,31.05,31.47,50.92,6.3,97.2,Mango
21.58,26.36,30.7,30.89,52.52,5.93,99.58,Mango
17.94,26.73,27.73,32.86,48.67,5.97,93.42,Mango
22.91,18.46,28.84,33.94,51.46,6.14,99.16,Mango
29.15,24.01,31.17,30.28,50.62,4.8,97.32,Mango
25.09,28.64,27.41,32.48,50.17,5.66,97.19,Mango
32.44,27.36,25.58,38.23,54.56,6.2,93.12,Mango
26.79,24.1,33.16,32.09,50.13,5.46,97.8,Mango
37.5,37.05,31.89,30.93,45.83,5.94,95.0,Mango
28.37,27.84,26.68,32.75,52.61,6.18,97.37,Mango
31.28,24.94,29.82,31.71,51.69,6.37,96.61,Mango
40.48,41.29,30.2,22.87,53.66,5.41,93.0,Mango
25.01,24.71,31.53,27.99,49.61,5.96,96.56,Mango
31.51,22.58,27.55,30.36,51.92,6.68,89.88,Mango
26.12,19.17,25.87,33.68,52.45,6.03,97.3,Mango
24.5,24.8,35.46,30.95,52.79,5.75,90.38,Mango
14.72,23.88,32.64,33.27,53.1,5.13,99.04,Mango
21.47,28.83,29.97,31.11,53.84,5.31,91.63,Mango
27.62,25.0,38.44,33.02,50.78,5.09,90.3,Mango
21.09,28.22,33.57,34.02,51.9,5.55,95.67,Mango
24.26,38.24,29.53,31.31,47.62,5.63,97.09,Mango
20.83,22.81,31.98,28.18,53.35,5.42,94.03,Mango
20.48,29.86,36.15,33.26,49.99,6.46,94.21,Mango
36.09,32.54,22.64,29.24,53.15,5.84,92.44,Mango
23.54,15.59,29.78,36.47,52.91,7.12,97.21,Mango
33.92,39.84,30.94,31.08,53.31,6.66,93.8,Mango
22.99,28.37,32.08,33.3,49.01,6.94,93.4,Mango
25.84,21.86,36.75,32.04,50.01,6.29,96.92,Mango
26.33,32.75,27.94,30.39,47.98,4.92,99.52,Mango
37.76,27.91,34.16,31.14,51.07,5.79,94.69,Mango
26.16,34.65,30.38,33.1,53.3,5.99,92.57,Mango
19.04,28.43,29.57,31.7,51.47,7.36,91.67,Mango
15.06,29.58,29.06,32.21,52.52,6.55,91.23,Mango
24.02,30.18,31.93,36.44,53.17,5.71,92.77,Mango
23.97,23.8,31.64,32.08,49.18,5.48,97.19,Mango
29.7,31.05,30.96,35.16,51.91,5.51,92.71,Mango
29.06,12.25,29.54,31.04,49.11,5.17,97.02,Mango
28.94,28.14,30.77,31.71,53.68,5.83,91.35,Mango
37.69,29.81,28.53,28.68,52.19,5.68,98.94,Mango
25.34,22.27,32.24,33.58,51.8,6.17,94.91,Mango
26.75,139.78,201.56,23.56,84.19,5.41,75.13,Grapes
12.21,128.58,199.9,23.75,83.76,5.74,70.65,Grapes
20.66,134.34,199.84,25.79,81.81,5.87,70.72,Grapes
32.08,128.76,197.83,30.21,82.46,6.21,67.74,Grapes
11.65,129.17,198.08,24.33,81.7,6.19,69.28,Grapes
26.13,133.49,200.49,24.79,83.14,5.8,73.5,Grapes
23.23,124.3,200.47,17.76,83.33,6.55,68.03,Grapes
27.49,121.53,201.13,17.47,81.72,5.72,71.83,Grapes
32.55,132.65,197.84,38.51,81.56,5.46,71.15,Grapes
16.71,138.68,199.05,30.13,84.25,5.7,68.59,Grapes
24.43,142.11,198.35,19.95,83.1,5.86,70.38,Grapes
13.36,145.0,196.63,22.27,82.46,6.48,66.69,Grapes
39.88,137.23,201.04,16.63,83.21,5.82,73.17,Grapes
17.72,131.79,198.61,16.61,83.43,6.13,73.02,Grapes
11.65,139.15,205.0,21.16,84.87,5.93,66.57,Grapes
22.71,139.05,197.9,19.9,83.24,6.0,71.46,Grapes
26.78,135.5,198.92,26.97,81.34,6.32,68.41,Grapes
33.47,131.04,200.5,20.79,81.23,5.56,67.36,Grapes
22.57,133.82,202.53,21.21,81.4,5.64,71.2,Grapes
35.37,140.41,201.77,30.43,84.62,6.08,71.62,Grapes
22.59,123.99,198.29,24.92,82.58,6.48,70.2,Grapes
33.84,129.78,199.22,13.7,81.57,6.13,70.02,Grapes
32.07,133.63,199.12,43.26,82.38,6.29,69.0,Grapes
30.32,138.3,200.52,8.0,82.52,6.31,71.32,Grapes
28.34,121.74,198.2,28.5,83.01,6.3,69.64,Grapes
28.04,132.6,197.53,8.0,83.04,6.04,68.45,Grapes
12.86,136.44,199.34,29.73,84.83,5.46,68.25,Grapes
23.43,141.59,195.91,41.45,82.67,5.98,69.5,Grapes
21.73,139.05,197.33,27.94,82.02,5.81,76.46,Grapes
28.14,136.33,202.84,12.92,84.69,5.37,68.08,Grapes
21.56,136.14,200.55,23.58,82.49,5.76,66.26,Grapes
30.45,136.84,203.96,18.28,83.37,5.93,72.98,Grapes
32.66,133.82,199.15,33.17,83.31,5.83,66.68,Grapes
22.84,141.97,202.87,15.55,81.04,6.32,67.16,Grapes
28.82,128.65,204.04,18.45,83.93,6.05,70.63,Grapes
10.22,118.73,199.45,27.1,81.09,5.73,71.4,Grapes
29.22,131.64,201.95,15.02,82.06,6.41,70.17,Grapes
