crop,area_acres,yield_tons,selling_price_per_ton,estimated_expenses,expected_revenue,expected_profit
Sugarcane,13.81,77.95,1044.21,12164.94,81398.94,69234.01
Soybean,4.84,79.28,415.2,6590.22,32918.69,26328.48
Tomato,4.81,7.72,1178.35,7014.35,9094.58,2080.23
Cotton,4.27,21.29,1057.19,5490.72,22503.04,17012.32
Wheat,14.25,115.51,983.3,8825.22,113582.8,104757.58
Wheat,11.92,214.14,391.13,10153.1,83757.04,73603.94
Maize,2.69,45.61,381.18,2812.46,17387.28,14574.82
Tomato,6.88,66.71,1116.94,8470.45,74507.89,66037.45
Maize,3.39,28.5,957.28,4674.2,27282.61,22608.41
Rice,10.67,75.93,1004.96,3870.25,76305.76,72435.51
Wheat,9.43,39.53,433.81,3098.69,17147.73,14049.04
Sugarcane,14.28,93.16,464.52,9077.39,43274.84,34197.45
Maize,13.97,117.69,250.62,4851.54,29494.6,24643.06
Rice,1.14,17.78,931.16,1630.87,16555.52,14924.65
Rice,12.02,78.83,240.26,12095.62,18938.54,6842.92
Sugarcane,8.93,14.31,261.89,8413.19,3748.16,-4665.02
Tomato,4.8,78.83,574.72,4608.1,45305.71,40697.61
Soybean,2.3,19.07,363.34,1304.8,6927.95,5623.14
Rice,4.17,62.42,1130.4,1726.16,70555.36,68829.21
Cotton,1.71,20.21,487.33,1085.66,9851.2,8765.55
Potato,11.53,27.06,692.54,9579.78,18742.84,9163.06
Wheat,7.78,100.75,752.76,4353.74,75843.02,71489.28
Sugarcane,12.28,172.39,353.9,5881.45,61008.23,55126.78
Potato,5.85,48.14,325.57,2958.41,15674.28,12715.86
Potato,1.49,11.83,897.16,790.42,10616.69,9826.27
Potato,14.66,105.43,537.31,9888.16,56648.68,46760.52
Rice,4.22,34.97,440.53,4670.85,15404.67,10733.82
Rice,2.98,31.25,305.59,1054.38,9549.45,8495.07
Tomato,11.33,84.39,871.27,7079.5,73529.76,66450.26
Maize,1.42,12.55,704.62,625.98,8841.51,8215.54
Maize,12.11,149.97,777.81,16223.81,116648.0,100424.19
Wheat,14.79,209.64,634.36,12362.49,132987.44,120624.95
Maize,5.62,60.79,1050.57,3047.27,63868.94,60821.67
Sugarcane,7.01,42.81,329.17,2942.37,14091.03,11148.66
Tomato,1.23,18.41,240.14,1678.14,4420.02,2741.88
Cotton,3.73,45.73,980.92,4661.75,44857.06,40195.31
Maize,13.12,41.94,325.96,19348.63,13669.44,-5679.18
Wheat,14.49,54.04,351.78,19819.78,19011.27,-808.51
Potato,9.44,120.52,775.36,7695.76,93449.08,85753.32
Potato,3.01,5.42,664.07,4305.81,3601.7,-704.11
Rice,9.75,134.88,418.71,3628.06,56474.09,52846.03
Soybean,3.97,13.96,901.38,1732.6,12580.15,10847.55
Soybean,5.78,54.29,1128.86,4035.48,61288.94,57253.46
Cotton,1.39,16.37,1006.76,1821.24,16475.77,14654.53
Tomato,9.84,83.98,748.15,5013.85,62831.98,57818.13
Wheat,9.87,145.96,597.88,12504.18,87264.7,74760.51
Sugarcane,9.08,98.07,700.28,3478.71,68674.11,65195.4
Potato,12.76,45.97,1000.21,17039.04,45981.26,28942.22
Potato,3.01,39.96,493.35,2797.22,19713.19,16915.97
Soybean,14.92,171.46,507.89,19473.52,87081.29,67607.77
Cotton,14.24,90.89,201.11,8921.0,18278.2,9357.19
Wheat,13.94,95.85,327.77,11581.92,31418.11,19836.19
Potato,11.2,76.61,865.06,10843.21,66270.38,55427.17
Tomato,2.77,41.3,1124.25,2360.39,46431.85,44071.47
Cotton,10.1,32.38,602.03,11861.26,19492.3,7631.05
Wheat,5.18,83.99,213.63,3562.1,17942.87,14380.77
Cotton,4.56,7.82,740.3,6029.12,5785.51,-243.6
Wheat,12.53,204.62,753.11,15972.74,154103.96,138131.22
Tomato,6.32,72.79,588.73,3718.26,42852.62,39134.37
Tomato,7.72,29.16,281.04,10003.41,8195.91,-1807.51
Potato,7.22,74.17,1073.62,10787.8,79625.65,68837.85
Potato,7.49,50.81,676.46,5110.24,34370.07,29259.83
Maize,10.42,132.86,515.24,4789.4,68453.03,63663.62
Wheat,11.34,141.73,319.56,11193.62,45291.28,34097.66
Cotton,11.55,183.65,699.96,13584.62,128546.12,114961.5
Sugarcane,11.92,150.45,967.5,7978.16,145555.46,137577.29
Tomato,9.64,149.65,396.25,4344.13,59296.79,54952.66
Maize,8.33,51.29,498.08,5276.27,25546.24,20269.97
Rice,2.2,5.38,305.48,2210.41,1643.79,-566.63
Tomato,1.93,4.44,495.67,2744.04,2198.28,-545.76
Maize,7.97,102.65,452.31,5337.08,46430.69,41093.62
Maize,3.15,55.59,744.77,1460.16,41403.45,39943.29
Tomato,6.11,73.75,666.18,3224.3,49133.51,45909.21
Maize,11.79,83.28,1141.58,11027.89,95065.71,84037.82
Sugarcane,5.42,13.22,966.53,6193.45,12776.44,6582.99
Rice,14.53,172.4,1130.64,16149.42,194926.46,178777.05
Maize,6.77,114.6,450.88,3010.37,51671.39,48661.02
Cotton,9.12,65.66,1015.77,7840.64,66698.0,58857.36
Rice,8.08,33.72,858.1,12102.73,28935.44,16832.7
Soybean,2.6,44.24,1072.66,2188.79,47450.21,45261.42
Rice,6.81,53.71,859.69,5653.27,46175.54,40522.27
Cotton,6.56,59.11,614.96,7715.23,36347.9,28632.67
Rice,14.36,57.44,677.42,14682.34,38908.12,24225.77
Sugarcane,2.56,40.46,497.36,1265.79,20124.63,18858.83
Cotton,3.28,44.63,408.83,1213.5,18244.67,17031.18
Rice,1.59,11.91,298.59,698.14,3555.2,2857.06
Soybean,12.24,127.5,279.28,11985.33,35607.48,23622.14
Potato,3.08,13.35,1078.77,2984.8,14404.36,11419.56
Wheat,7.06,79.97,280.62,10076.31,22440.02,12363.7
Maize,7.58,74.2,400.77,5138.53,29739.18,24600.65
Maize,9.82,149.02,983.47,6211.81,146553.11,140341.3
Tomato,10.5,71.72,1187.75,7252.85,85184.62,77931.77
Potato,11.11,24.05,605.42,10215.1,14558.97,4343.87
Tomato,14.94,24.99,1095.07,7155.28,27371.15,20215.87
Cotton,14.31,26.67,1182.52,5771.04,31538.33,25767.29
Tomato,4.17,45.3,551.54,4309.12,24984.8,20675.68
Tomato,6.33,15.2,799.46,8758.25,12153.46,3395.21
Cotton,11.53,189.57,1035.37,6183.03,196271.41,190088.37
Wheat,12.57,140.8,553.1,15833.38,77874.38,62041.0
Potato,4.05,68.66,666.12,3383.28,45733.44,42350.16
Sugarcane,6.8,117.65,741.11,6975.45,87189.43,80213.98
Cotton,1.2,11.28,221.02,1541.05,2492.45,951.4
Sugarcane,9.46,133.41,723.4,5412.91,96508.44,91095.53
Tomato,6.23,73.66,212.34,2939.34,15642.09,12702.75
Maize,3.83,30.2,251.15,2978.9,7584.64,4605.74
Sugarcane,14.33,230.47,470.62,7639.86,108464.16,100824.3
Tomato,8.08,20.39,271.16,7987.96,5529.07,-2458.9
Sugarcane,14.92,72.09,458.1,6510.64,33024.46,26513.82
Tomato,2.37,5.28,385.28,2252.37,2035.37,-217.0
Sugarcane,7.32,50.86,789.21,6183.6,40140.86,33957.26
Rice,2.08,8.95,326.94,932.0,2927.2,1995.21
Soybean,10.53,44.64,259.11,11884.55,11566.59,-317.96
Sugarcane,14.29,55.03,582.14,13795.42,32035.86,18240.44
Maize,10.41,44.81,255.42,7262.09,11444.69,4182.59
Soybean,7.86,65.63,224.01,5517.72,14700.82,9183.09
Potato,14.84,32.4,1167.8,14243.56,37840.45,23596.89
Soybean,5.42,43.25,436.92,2254.62,18896.94,16642.32
Potato,9.65,47.54,787.7,4194.18,37444.5,33250.32
Tomato,13.91,37.57,480.6,10017.1,18056.07,8038.97
Wheat,12.81,87.91,887.3,18628.7,78002.1,59373.41
Sugarcane,4.15,33.53,609.67,6109.47,20442.64,14333.17
Tomato,1.23,5.81,1010.47,773.6,5875.11,5101.51
Cotton,9.1,138.62,1004.17,12187.37,139198.94,127011.57
Rice,14.4,233.11,852.28,12263.3,198673.05,186409.75
Potato,6.64,66.87,1196.53,3068.65,80014.18,76945.53
Soybean,11.76,210.62,211.08,13837.95,44457.15,30619.2
Potato,13.31,219.24,1191.53,7322.64,261229.04,253906.4
Tomato,5.24,71.05,900.73,5275.37,63993.56,58718.18
Sugarcane,9.31,102.42,361.46,8065.81,37019.42,28953.61
Tomato,5.41,28.16,269.15,6995.31,7580.68,585.37
Wheat,5.97,85.78,763.89,3660.52,65523.69,61863.16
Rice,11.43,94.89,395.76,10464.33,37553.86,27089.53
Sugarcane,7.83,28.97,461.33,6290.46,13363.92,7073.46
